study,BU Pi_mix(0.3),BU Pi_mix(0.7),BU Pi_1(0.3),Hommel,Gou,Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.7)
222,5,5,5,5,5,5,5,5,5
223,2,2,2,2,2,2,2,2,2
224,3,3,3,3,3,3,3,3,3
225,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0
227,1,1,1,1,1,1,1,1,1
228,3,3,3,3,3,3,3,3,3
229,2,2,2,2,2,2,2,2,2
230,3,3,3,3,3,3,3,3,3
231,0,0,0,0,0,0,0,0,0
232,1,1,1,1,1,1,1,1,1
233,2,2,0,0,0,0,0,0,0
234,2,1,1,1,1,1,1,1,1
235,0,0,0,0,0,0,0,0,0
236,1,1,1,1,1,1,1,1,1
237,5,5,5,5,5,5,5,5,5
238,4,4,4,4,4,4,4,4,4
239,3,3,3,3,3,3,3,3,3
240,2,2,2,2,2,2,2,2,2
241,2,2,2,2,2,2,2,2,2
242,2,2,2,2,2,2,2,2,2
243,1,1,1,1,1,1,1,1,1
244,0,0,0,0,0,0,0,0,0
245,3,3,3,3,3,3,3,3,3
246,3,3,3,3,3,3,3,3,3
247,1,2,2,2,2,2,2,2,2
248,3,3,3,3,3,3,3,3,3
