method,BU Pi_mix(0.3),BU Pi_mix(0.3),BU Pi_mix(0.3),BU Pi_mix(0.3),BU Pi_mix(0.3),BU Pi_mix(0.7),BU Pi_mix(0.7),BU Pi_mix(0.7),BU Pi_mix(0.7),BU Pi_mix(0.7),BU Pi_1(0.3),BU Pi_1(0.3),BU Pi_1(0.3),BU Pi_1(0.3),BU Pi_1(0.3),Hommel,Hommel,Hommel,Hommel,Hommel,Gou,Gou,Gou,Gou,Gou,Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.3),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_mix(0.7),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.3),Improved Hommel Pi_1(0.7),Improved Hommel Pi_1(0.7),Improved Hommel Pi_1(0.7),Improved Hommel Pi_1(0.7),Improved Hommel Pi_1(0.7)
hypothesis,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5,V1,V2,V3,V4,V5
study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0
33,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
