Method,BU Pi_mix,BU Pi_1,IH Pi_mix,IH Pi_1,Hommel,Gou
Average number of discoveries,1.745968,1.669355,1.689516,1.673387,1.669355,1.681452
Fraction of at least one discovery,0.669355,0.637097,0.653226,0.637097,0.633065,0.645161
