h,fwer_bu,fwer_bu_se,fwer_hommel,fwer_hommel_se,tpr_bu,tpr_bu_se,tpr_hommel,tpr_hommel_se
"(0,0,0)",0.05072,0.0006938873329268287,0.04909,0.0006832323082699403,,,,
"(1,0,0)",0.04733,0.0006714932762375216,0.04097,0.000626832130785589,0.14625,0.0011174174963811028,0.1931,0.0012482545739530913
"(0,1,0)",0.04762,0.000673444794529524,0.03994,0.0006192348492437946,0.14583,0.0011160862724205842,0.19268,0.001247220803064684
"(0,0,1)",0.04732,0.0006714258589947524,0.04696,0.0006689933179939805,0.65355,0.0015047413789306702,0.55629,0.001571094854676325
"(1,1,0)",0.03853,0.000608652688797935,0.02995,0.0005390110206005098,0.180055,0.0009173796300353829,0.20933,0.000994268271994016
"(1,0,1)",0.03799,0.0006045421852216245,0.03279,0.0005631619043519413,0.43745,0.0010902462388692811,0.39846,0.001137479328424137
"(0,1,1)",0.03829,0.0006068298290496391,0.03329,0.0005672926733263634,0.439655,0.0010901016892780825,0.401435,0.0011396654755339221
"(1,1,1)",,,,,0.4091133333333333,0.0010218098982030814,0.37323666666666666,0.001046501777029719
